All Establishment Details,,,,,,,,,,,,
Mar-17,,,,,,,,,,,,
Report Date: 05/01/2017 08:52 AM,,,,,,,,,,,,
Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Jessi Kae Thaxton,150700853,Jersey County,4,115536.33,106479.11,9057.22,30248,21190.78,9057.22,2717.27,2264.39,452.88
"JEWELL WHYTE POST NO. 728, VETERANS OF FOREIGN WARS OF THE UNITED STATES",120904892,Danville,3,43668.16,40562.88,3105.28,15073,11967.7,3105.3,931.64,776.37,155.27
Jiggs Cardinal Inn Inc.,150703023,Alexis,2,68827.24,64492.28,4334.96,24030,19695.04,4334.96,1300.45,1083.71,216.74
Jill Bosecker,130701483,Pulaski County,5,199101.91,177178.21,21923.7,58985,37061.24,21923.76,6577.2,5481,1096.2
JIM & JO'S BAR & GRILL CORPORATION,120708026,Danville,4,112627.23,104646.2,7981.03,34269,26287.98,7981.02,2394.31,1995.26,399.05
"Jim Dandy Lounge, Inc.",120702287,Bartonville,5,227892.74,208440.04,19452.7,73492,54039.46,19452.54,5835.79,4863.16,972.63
JIM SHELL LLC,120702057,Roscoe,5,402120.8,369204.94,32915.86,123127,90211.3,32915.7,9874.82,8229.02,1645.8
"Jim Shell Rockton, Inc.",140704371,Rockton,5,311106,290641.33,20464.67,95445,74980.22,20464.78,6139.4,5116.17,1023.23
"Jim's Downtown Steakhouse, Inc.",140700984,Peoria,2,48981.21,46980.82,2000.39,13684,11683.61,2000.39,600.15,500.13,100.02
"Jim's Hunting and Fishing Adventures,Inc.",120709900,Mount Vernon,5,348328.67,322429.7,25898.97,110073,84174.22,25898.78,7769.7,6474.75,1294.95
"Jim's Lounge, Inc.",120707997,La Salle,5,115465,105228.89,10236.11,41064,30827.89,10236.11,3070.86,2559.05,511.81
Jim's Place LLC,150704004,Champaign,5,562353.59,516898.65,45454.94,204915,159460.06,45454.94,13636.47,11363.73,2272.74
"JIMANI, INC.",120700408,Catlin,5,190753.46,175090.76,15662.7,55133,39470.28,15662.72,4698.92,3915.77,783.15
"Jimbo's Place, Inc.",130702527,Millington,3,50457.26,45052.95,5404.31,19823,14418.66,5404.34,1621.3,1351.09,270.21
"Jimbos Knucklehead Saloon, Inc.",120707209,East Moline,5,180755.98,163577.73,17178.25,50180,33001.63,17178.37,5153.6,4294.67,858.93
"JIMMY'S CHARHOUSE OF ELGIN, INC.",130704557,Elgin,4,309611.31,285087.16,24524.15,90388,65863.9,24524.1,7357.26,6131.05,1226.21
"JIMMY'S PLACE ENTERPRISES, INC.",120706075,Lyons,5,170733.68,157198.79,13534.89,53956,40421.06,13534.94,4060.54,3383.79,676.75
"Jimmy's Restaurant, Inc.",140702659,Chicago Heights,4,121700.76,112654.72,9046.04,37546,28499.96,9046.04,2713.84,2261.53,452.31
"Jimmy's Street Tacos, Inc.",170700350,Villa Park,5,25,11.05,13.95,30,16.05,13.95,4.19,3.49,0.7
"Jimmy's Wife's, LTD.",120702252,Riverdale,5,313873.91,288514.54,25359.37,98637,73277.63,25359.37,7607.87,6339.89,1267.98
"JIMSAM, Inc.",120702274,Moline,3,134385.17,118633.78,15751.39,41359,25607.61,15751.39,4725.43,3937.86,787.57
"JJ'S DELI AND SPIRITS, INC.",150701659,New Milford,5,225166.44,207425.78,17740.66,72184,54443.34,17740.66,5322.28,4435.23,887.05
"JJ's Pub, Inc.",120704374,Posen,5,208519.98,194511.67,14008.31,63507,49498.59,14008.41,4202.53,3502.11,700.42
"JJ's Tavern, Inc.",120700598,Winnebago County,5,312004.44,287736.31,24268.13,84879,60610.87,24268.13,7280.48,6067.06,1213.42
"JJ-Kou, Inc.",120708213,Pekin,4,502212.04,459202.8,43009.24,144582,101572.76,43009.24,12902.78,10752.32,2150.46
"JJAMN, Inc. ",120702327,Joliet,3,61404.79,58763.12,2641.67,20081,17439.33,2641.67,792.56,660.46,132.1
JJDM Incorporated,120702286,Elmwood,5,197141.37,181051.65,16089.72,56371,40281.28,16089.72,4826.95,4022.46,804.49
JJJR Silver Creek Inc.,120712650,Belleville,5,276160.22,251094.73,25065.49,83107,58041.56,25065.44,7519.71,6266.42,1253.29
"JK Partners, LLC",120710784,Hickory Hills,5,396157.75,362366.85,33790.9,117578,83787.2,33790.8,10137.27,8447.72,1689.55
"JKL Enterprise, Inc.",130703304,Kewanee,3,80159.52,73899.53,6259.99,18303,12043.01,6259.99,1878.03,1565.03,313
"JKN55, Inc.",140704258,Centralia,5,206999.89,189308.27,17691.62,62708,45016.37,17691.63,5307.48,4422.9,884.58
"JKR Enterprises, Inc.",160702915,Vermilion County,5,518842.07,485424.07,33418,154706,121288.15,33417.85,10025.43,8354.53,1670.9
JLL LLC,130706042,Marion,3,91656.86,83188.59,8468.27,30303,21834.73,8468.27,2540.46,2117.05,423.41
"JMAM, INC.",120702022,Oak Lawn,5,276109.36,253040,23069.36,90582,67512.64,23069.36,6920.78,5767.32,1153.46
JMIZ VENTURES LLC,160703647,Pleasant Plains,5,21975.63,18501.69,3473.94,8021,4547.06,3473.94,1042.2,868.5,173.7
"JNM Enterprises, Inc.",120705830,Prairie Du Rocher,5,160679.36,150205.13,10474.23,51614,41139.68,10474.32,3142.38,2618.65,523.73
JO & KM Corp.,120705913,Pawnee,5,380570.18,355834.47,24735.71,128923,104187.29,24735.71,7420.76,6183.97,1236.79
Jo Ann Raines,120703495,Schram City,3,44207.62,41043.23,3164.39,19500,16335.64,3164.36,949.34,791.11,158.23
JO'S PLACE INC.,120708295,Virden,3,113592.14,102650.51,10941.63,31182,20240.37,10941.63,3282.51,2735.43,547.08
Jo-Al Enterprises LLC,120709067,St. Clair County,4,73099.6,65742.63,7356.97,20713,13356.03,7356.97,2207.14,1839.28,367.86
"Jo-Jo's Pizza & Delivery, Inc.",130704644,Rockford,5,558225.45,518791.22,39434.23,152917,113482.77,39434.23,11830.35,9858.63,1971.72
Joan Strom's Other Place Inc.,120709899,Sherrard,3,69567.84,63106.85,6460.99,20450,13989.01,6460.99,1938.3,1615.25,323.05
JOCEMANSOPHY INC.,150704407,Yorkville,2,12014.07,10564.36,1449.71,3496,2046.29,1449.71,434.94,362.45,72.49
"Joe Mamas, Inc.",120703517,East Dubuque,2,65695.76,61553.91,4141.85,33693,29551.15,4141.85,1242.59,1035.5,207.09
JOE WILLIAMS POST NO. 55 OF THE AMERICAN LEGION,120909891,Farmer City,5,125595.82,117288.17,8307.65,44784,36476.19,8307.81,2492.46,2077.05,415.41
"Joe's Casa Di Amici, Inc.",160702148,Loves Park,5,33662.44,30492.3,3170.14,13205,10034.86,3170.14,951.14,792.62,158.52
Joe's Catering Inc.,120702194,Bradley,2,20017.45,18658.33,1359.12,7097,5737.98,1359.02,407.76,339.8,67.96
"JOE'S HUB LOUNGE, INC.",130704378,Rochelle,3,78004.87,71681.37,6323.5,23777,17453.5,6323.5,1897.09,1580.91,316.18
Joe's Italian Resturant Inc.,140700168,Springfield,4,89609.21,78211.08,11398.13,34188,22789.87,11398.13,3419.51,2849.59,569.92
Joe's Lounge Inc.,120705582,Will County,4,40893.61,37198.7,3694.91,15383,11688.09,3694.91,1108.5,923.75,184.75
"Joe's Pizza of Benton, Inc.",160703670,Benton,4,38556.14,34101.09,4455.05,12898,8442.8,4455.2,1336.52,1113.76,222.76
"Joe's Pizza of Salem, Inc.",140703154,Salem,5,42119.36,37506.66,4612.7,16647,12034.33,4612.67,1383.78,1153.15,230.63
JOE'S PIZZERIA INC.,160702202,Wheeling,3,88079.72,79881.4,8198.32,31056,22857.68,8198.32,2459.52,2049.6,409.92
Joe's Saloon Inc.,120703522,Brookfield,5,358243.29,330404.15,27839.14,105461,77621.86,27839.14,8351.83,6959.86,1391.97
Joe's Sportspage Ltd.,120700720,Rockford,5,623681.88,568240.98,55440.9,196020,140579.1,55440.9,16632.29,13860.25,2772.04
"John & Naomi's Corner Tap, Inc.",120704500,Sheridan,3,165909.6,154624.59,11285.01,52140,40854.99,11285.01,3385.49,2821.24,564.25
John D. Lattanzi,120710095,Calumet City,4,74783.28,67502.52,7280.76,27687,20406.23,7280.77,2184.3,1820.25,364.05
John E Schutte & Paul E Workman,120709152,Quincy,2,180630.12,168216.11,12414.01,57851,45436.99,12414.01,3724.22,3103.52,620.7
John Ebener,120706387,La Salle,5,252296.5,224970,27326.5,84179,56852.5,27326.5,8198.03,6831.69,1366.34
John H. Giesler and Mardell A. Giesler ,140703292,Mason City,3,51460.1,46239.24,5220.86,18202,12981.14,5220.86,1566.28,1305.24,261.04
John H. Kraus Post No. 454 Veterans of Foreign Wars of the United States,120902173,Bloomington,5,557565.91,521481.65,36084.26,180238,144154.75,36083.25,10825.01,9020.85,1804.16
JOHN H. SHAW,140702991,Quincy,2,148769.87,141800.03,6969.84,28954,21984.16,6969.84,2090.99,1742.5,348.49
John H. Stelle Post 106,120909879,Mcleansboro,4,184135.07,170825.1,13309.97,48789,35479.03,13309.97,3993.03,3327.52,665.51
John Helige,120709297,Greenville,4,219218.66,207627.97,11590.69,65800,54209.31,11590.69,3477.23,2897.7,579.53
JOHN J. KELLY AND GAYLA A. KELLY LLC,160700829,Blue Island,3,45202.13,41636.17,3565.96,15444,11878.04,3565.96,1069.81,891.51,178.3
John L's II Inc.,120709655,Blue Island,4,113862.77,104017.88,9844.89,48484,38639.11,9844.89,2953.58,2461.32,492.26
John L. Witherow Sr. and Peggy S. Witherow,130701459,Whiteside County,5,156083.52,146474.05,9609.47,36041,26431.53,9609.47,2882.9,2402.42,480.48
JOHN LOUIS STEITZ III,160700143,Lake County,3,42662.43,37444.11,5218.32,12250,7031.34,5218.66,1565.59,1304.66,260.93
"JOHN MARTIN STEELE POST NO. 6049, VETERANS OF FOREIGN WARS OF THE UNITED STATES",120908304,Morris,5,308175.09,287392.22,20782.87,93432,72649.13,20782.87,6234.92,5195.77,1039.15
John Olson American Legion Post 18,120905967,Lockport,5,118608.94,111336.28,7272.66,36403,29130.34,7272.66,2181.8,1818.17,363.63
John Schieppe,150703454,Lebanon,3,52946.93,49332.24,3614.69,14346,10731.31,3614.69,1084.49,903.75,180.74
John W Hawes,120707509,Pearl City,2,44027.81,42979.03,1048.78,12413,11416.71,996.29,298.89,249.08,49.81
John W. Hicks,120706847,Marseilles,4,106863.03,100917.54,5945.49,32925,26979.51,5945.49,1783.67,1486.4,297.27
John Whitacre,120709531,La Salle County,4,127702.42,117410.73,10291.69,37403,27111.46,10291.54,3087.56,2572.96,514.6
"John's Beef 'N Beer, Inc.",120711282,Aurora,5,484164.02,439965.95,44198.07,159533,115263.13,44269.87,13281.04,11067.54,2213.5
"John's Restaurant & Pizzeria, Inc.",130703247,Rockford,3,143281.52,130960.71,12320.81,40783,28462.13,12320.87,3696.31,3080.26,616.05
"John's Tavern, INC.",120708859,Carrollton,5,214673.32,195530.61,19142.71,67217,48074.29,19142.71,5742.82,4785.69,957.13
JOHNNIE'S GRILL INC.,130704556,Melrose Park,5,254900.33,236656.63,18243.7,73561,55317.3,18243.7,5473.17,4560.97,912.2
"JOHNNIE'S TAP, INC.",120704152,Fulton,5,203568.53,188302.17,15266.36,55766,40499.64,15266.36,4579.94,3816.62,763.32
"JOHNNY B' S TAVERN, INC.",130705023,Bartelso,3,44432.82,41082.71,3350.11,17659,14308.89,3350.11,1005.06,837.55,167.51
"JOHNNY K'S RESTAURANT, INC.",120712600,Lansing,5,528944.16,491851,37093.16,147450,110356.84,37093.16,11128.02,9273.35,1854.67
"JOHNNY'S PIZZA, INC.",150702652,Kankakee,3,22461.59,20067.46,2394.13,9429,7034.87,2394.13,718.26,598.55,119.71
"JOHNSBURG BOWL, INC.",140703089,Johnsburg,5,275587.68,250056.16,25531.52,99650,74118.48,25531.52,7659.59,6382.99,1276.6
"Johnson's Corner, Inc.",120704189,Alton,3,69282.76,63092.94,6189.82,19976,13786.18,6189.82,1856.97,1547.48,309.49
"JOHNSON-PHELPS POST NO 5220, VETERANS of FOREIGN WARS, INC.",120907732,Oak Lawn,5,534262.76,493496.61,40766.15,144319,103552.85,40766.15,12229.89,10191.57,2038.32
Johnsons Discount General LLC,140702108,Mount Morris,5,122527.19,113108.91,9418.28,40416,30998.25,9417.75,2825.32,2354.44,470.88
JOJACKY INC.,130703071,Kankakee County,5,297994.25,281841.32,16152.93,81764,65610.92,16153.08,4845.95,4038.29,807.66
Joken Inc.,140701516,Schiller Park,5,364286.43,343003.28,21283.15,110481,89197.81,21283.19,6384.97,5320.81,1064.16
"Jokers Wild Gaming, Inc.",160700098,Crestwood,5,517943.25,484767.15,33176.1,157949,124772.9,33176.1,9952.86,8294.05,1658.81
"Jokers Wild Gaming, Inc.",160701777,Silvis,5,380846,351885.68,28960.32,108386,79425.68,28960.32,8688.13,7240.11,1448.02
"Jokers Wild Gaming, Inc.",160700393,Midlothian,5,343409.24,322216.72,21192.52,104282,83089.48,21192.52,6357.76,5298.13,1059.63
Joliet Columbian Club,120700765,Joliet,4,99858.79,90805.54,9053.25,30120,21066.75,9053.25,2715.96,2263.3,452.66
"JOLIET CONVENTION CENTER, INC.",120708470,Joliet,4,168614.83,152042.43,16572.4,43612,27039.66,16572.34,4971.77,4143.14,828.63
JOLIET LODGE LOYAL ORDER OF MOOSE NO. 300,120812920,Joliet,5,171369.72,153400.02,17969.7,57607,39637.38,17969.62,5390.93,4492.45,898.48
Joliet Lodge No. 296 Benevolent Protective Order of Elks,120806488,Joliet,5,82862.81,75240.43,7622.38,26425,18802.62,7622.38,2286.72,1905.6,381.12
Joliet Park District,140701145,Joliet,2,18370.05,16884.91,1485.14,5000,3514.86,1485.14,445.58,371.31,74.27
Joliet Park District,130706312,Joliet,2,19694.8,18042.06,1652.74,4312,2659.26,1652.74,495.86,413.22,82.64
"Joliet Town and Country Lanes, Inc.",120708025,Joliet,4,210122.14,190093.7,20028.44,62710,42681.56,20028.44,6008.59,5007.16,1001.43
Jonathan A Goetten,120709780,Carrollton,5,168738.64,154301.06,14437.58,51400,36953.22,14446.78,4334.06,3611.72,722.34
"Joneseezs Bar-B-Que, Incorporated",130700068,Braidwood,4,175183.54,163934.03,11249.51,58551,47301.49,11249.51,3374.9,2812.41,562.49
Jordan T. Robertson,160701766,Quincy,2,197259.41,182075.28,15184.13,52055,36870.87,15184.13,4555.26,3796.05,759.21
Jorge Jose Munoz,160700127,Fairfield,5,145635.36,133282.39,12352.97,39964,27610.93,12353.07,3705.97,3088.31,617.66
Joseph M. Harris ,120710149,Kendall County,4,121278.25,111923.15,9355.1,38916,29560.9,9355.1,2806.61,2338.84,467.77
Joseph O. Jannazzo,120708998,Springfield,5,398484.4,366039.12,32445.28,132793,100347.72,32445.28,9733.59,8111.33,1622.26
Joseph Rakers,120701192,Pocahontas,3,87568.95,78837.47,8731.48,30043,21311.52,8731.48,2619.49,2182.91,436.58
Josh's Saloon Incorporated,120701252,Forreston,5,287077,264086.48,22990.52,89817,66826.48,22990.52,6897.14,5747.62,1149.52
JOYCE C. GIERNOTH,130700292,Round Lake Park,5,214644.94,197823.9,16821.04,65790,48969.03,16820.97,5046.34,4205.29,841.05
"JP Cools, Inc.",120710716,Mansfield,5,261192.5,237899.63,23292.87,79037,55744.09,23292.91,6987.93,5823.28,1164.65
"JP FAMILY, INC.",130701415,Amboy,5,149153.84,137926.41,11227.43,43455,32227.39,11227.61,3368.36,2806.97,561.39
JP's Liquors & Lounge Incorporated,120710953,Kankakee,5,181782.19,164940.98,16841.21,63554,46712.07,16841.93,5052.62,4210.52,842.1
JR ANDERSON INC.,160702078,Avon,4,135061.73,119292.35,15769.38,43926,28156.21,15769.79,4730.98,3942.49,788.49
"JR's Chicken, Inc.",120703331,Kankakee,2,31649.6,28256.56,3393.04,12641,9247.96,3393.04,1017.93,848.27,169.66
"JRAY'S BAR & GRILL, INC.",160701749,Mendota,3,92146.78,86459.32,5687.46,28527,22839.54,5687.46,1706.31,1421.93,284.38
"JRH Investments, Inc.",130704039,Rockford,5,943587.78,877916.67,65671.11,266098,200426.89,65671.11,19701.38,16417.82,3283.56
JRS INCORPORATED OF CARLINVILLE,120712641,Carlinville,3,59716.85,52331.59,7385.26,20242,12856.79,7385.21,2215.56,1846.3,369.26
Js & S Corp.,130703643,Prospect Heights,5,231533.32,213496.63,18036.69,69892,51855.31,18036.69,5411.1,4509.25,901.85
"JSJ Enterprises, Inc.",140702858,Granite City,2,168850.93,155453.47,13397.46,36886,23492.99,13393.01,4017.92,3348.27,669.65
"JSS Peoria, Inc.",150700116,Peoria,3,71545.55,66613.28,4932.27,25752,20819.73,4932.27,1479.7,1233.09,246.61
"JT's Saloon, Inc.",120701444,Dwight,5,134891.87,128362.54,6529.33,45083,38553.49,6529.51,1958.85,1632.37,326.48
"JTATB, Inc.",120703481,Algonquin,4,293747.88,271359.93,22387.95,80390,58002.05,22387.95,6716.46,5597.05,1119.41
"JTE FAMILY PROPERTIES, L.L.C., SERIES E",160703403,Aurora,5,169225.2,161446.37,7778.83,57435,49655.94,7779.06,2333.75,1944.79,388.96
"JTM, INC.",130700014,Harmon,5,269431.86,251738.6,17693.26,76295,58601.74,17693.26,5308.02,4423.36,884.66
JTWS Marketing LLC,140703844,Richmond,5,402858.38,371107.74,31750.64,112041,80290.36,31750.64,9525.3,7937.75,1587.55
Juanita M. Richter,130700491,Breese,5,184926.55,169013.58,15912.97,55855,39942.03,15912.97,4773.97,3978.31,795.66
Judi's Deli Corporation,150702957,Pekin,5,229741.46,205048.82,24692.64,69215,44522.36,24692.64,7407.9,6173.25,1234.65
Judith Westray & Ralph Westray ,120703005,Villa Grove,3,61416.97,58856.61,2560.36,19662,17101.64,2560.36,768.15,640.13,128.02
JUDY K HUFF,120709782,Quincy,2,194022.77,176701.2,17321.57,68175,50853.43,17321.57,5196.47,4330.39,866.08
"Judy's Corner, Inc.",120704518,Dupo,3,91410.15,82450.8,8959.35,24239,15279.65,8959.35,2687.85,2239.88,447.97
JULIE ANN & RICHARD TUNK,120709971,Dixon,5,171404.45,157858.17,13546.28,48843,35296.83,13546.17,4063.9,3386.58,677.32
Julie Ellison,120701344,St. Clair County,4,145701.61,133555.15,12146.46,40440,28293.59,12146.41,3643.93,3036.61,607.32
"JULIE'S ENTERTAINMENT, LLC",150703296,Fulton County,0,-238129.99,-223495.25,-14634.74,-81211,-66576.16,-14634.84,-4390.52,-3658.77,-731.75
"JULIE'S ENTERTAINMENT, LLC",150703296,Fulton,5,913050.23,849933.21,63117.02,267459,204341.88,63117.12,18935.25,15779.38,3155.87
"Julie's Entertainment, LLC",160700823,Pekin,5,356255.54,328885.05,27370.49,99125,71754.51,27370.49,8211.14,6842.62,1368.52
"Julie's Island Lake, LLC",150703035,Island Lake,5,532949.81,492129.82,40819.99,152440,111619.68,40820.32,12246.13,10205.11,2041.02
"Julie's Monee, LLC",160701289,Monee,5,248711.95,230215.14,18496.81,78858,60361.19,18496.81,5549.1,4624.25,924.85
"Julie's Morengo, LLC",160701277,Lake Villa,5,663513.61,614317.88,49195.73,212257,163061.27,49195.73,14758.77,12298.97,2459.8
"JULIE'S SHOOTING STAR, INC.",120708010,Westville,5,286872.71,268454.84,18417.87,91250,72833.37,18416.63,5524.95,4604.12,920.83
Julius Corporation,160700712,Wauconda,5,515556.15,467274.26,48281.89,153241,104959.22,48281.78,14484.53,12070.45,2414.08
"Junction West, Inc.",120702079,Bloomington,5,487652.97,454208.39,33444.58,145057,111612.41,33444.59,10033.44,8361.2,1672.24
"JUNIOR'S BAR AND GRILL, INC.",120708208,Berwyn,5,354982.38,329169.34,25813.04,100686,74872.86,25813.14,7743.99,6453.33,1290.66
"JUPITER'S AT THE CROSSING, INC.",120704060,Champaign,5,636277.92,585822.8,50455.12,214444,163988.78,50455.22,15136.6,12613.84,2522.76
"Jupiter's Billiards & Pizzeria, Inc.",120703212,Champaign,5,311778.4,283536.05,28242.35,100822,72579.52,28242.48,8472.79,7060.66,1412.13
Jurres Inc.,120701152,Peotone,4,114741.77,106835.18,7906.59,38557,30650.41,7906.59,2372.01,1976.67,395.34
"JUS MINE, INCORPORATED",120707653,Calumet City,5,375311.31,347114.33,28196.98,111944,83747.08,28196.92,8459.07,7049.23,1409.84
"Just Add Water, Bait, Tackle & More LLC",160701393,Williamson County,4,100947.69,90727.56,10220.13,33051,22830.69,10220.31,3066.11,2555.1,511.01
"Just Elsie's, LLC",120704201,Orient,4,116745.59,109631.53,7114.06,38368,31253.99,7114.01,2134.28,1778.56,355.72
Just Imagine Entertainment Inc.,130704951,Lake County,5,450360.63,419104.52,31256.11,125872,94615.86,31256.14,9376.94,7814.12,1562.82
Just Jace Inc.,120711749,North Pekin,5,120623.38,110765.38,9858,40508,30650.19,9857.81,2957.36,2464.47,492.89
"Just One More, Inc.",120702093,Decatur,5,425008.8,377112.31,47896.49,130231,82334.51,47896.49,14369.06,11974.21,2394.85
JUSTEN ENTERPRISE INC.,120704132,Fox Lake,5,338804.23,301860.17,36944.06,108339,71394.94,36944.06,11083.3,9236.09,1847.21
Justin Laumbattus,120706052,Marissa,4,102919.49,93860.35,9059.14,38238,29179.01,9058.99,2717.73,2264.78,452.95
Justin Westfall,130700868,Rock Falls,4,165617.31,150198.14,15419.17,54200,38780.83,15419.17,4625.82,3854.85,770.97
"JVB Enterprises, Inc.",160701962,Crystal Lake,3,69566.16,64016,5550.16,30393,24842.84,5550.16,1665.08,1387.57,277.51
"K & H Truck Plaza, Inc.",121001190,Gilman,4,202638.32,186123.91,16514.41,58536,42021.66,16514.34,4954.3,4128.58,825.72
"K & K of Virden, Inc.",120705280,Virden,5,238800.52,217096.38,21704.14,71103,49398.86,21704.14,6511.36,5426.14,1085.22
K & R Jesters Inc.,120700405,Waukegan,5,951428.92,877838.54,73590.38,334258,260667.42,73590.58,22077.28,18397.74,3679.54
"K & T Behm, Inc.",130704102,Peoria,5,123433.86,119064.48,4369.38,41466,37096.62,4369.38,1310.82,1092.35,218.47
"K M B & G, INC.",120700707,McLean County,5,185089.87,169060.8,16029.07,52722,36692.73,16029.27,4808.86,4007.38,801.48
K-Moe Tavern Inc.,120703998,St. Peter,3,194486.88,181674.37,12812.51,47947,35134.49,12812.51,3843.79,3203.16,640.63
K. D. Taverns Inc.,120708203,Franklin County,5,234146.52,221171.33,12975.19,60373,47397.81,12975.19,3892.57,3243.81,648.76
"K. Gallagher, Inc.",120701418,Genoa,5,174738.43,160913.94,13824.49,53441,39616.51,13824.49,4147.37,3456.15,691.22
"K. of C. Home Association of Jacksonville, Illinois",140700136,Jacksonville,4,153502.85,140934.16,12568.69,50255,37686.52,12568.48,3770.53,3142.11,628.42
K.B. Oil Corp.,131004992,Joliet,5,368754.95,340021.23,28733.72,116771,88036.78,28734.22,8620.36,7183.64,1436.72
K.B. OIL CORP.,131004973,Richmond,5,359986.13,337059.44,22926.69,111817,88890.3,22926.7,6878.06,5731.72,1146.34
K.DYER INC.,120708850,Quincy,2,95133.14,88625.12,6508.02,28611,22102.98,6508.02,1952.45,1627.04,325.41
"K.S.S.S. of Fisher, INC.",140701228,Gibson City,5,89637.02,78237.36,11399.66,26558,15158.34,11399.66,3420.01,2850.01,570
"KAGG LOUNGE, INC.",120712353,Addison,5,506689.58,466748.64,39940.94,162715,122774.06,39940.94,11982.33,9985.28,1997.05
Kahley Incorporated,160702793,Silvis,4,10914.5,9851.11,1063.39,2774,1710.61,1063.39,319.04,265.87,53.17
"KAHOKIAN MEMORIAL POST 5691, VETERANS OF FOREIGN WARS OF THE UNITED STATES",120911934,Collinsville,5,549772.67,508177.88,41594.79,156594,114999.21,41594.79,12478.49,10398.75,2079.74
"Kahuna's Restaurant, Inc.",140702690,Greenville,4,126030.85,116543.85,9487,36581,27094,9487,2846.14,2371.78,474.36
KALHAL INC #1,160701892,Flanagan,4,60217.09,56713.49,3503.6,18995,15491.3,3503.7,1051.14,875.95,175.19
Kamer's Kove LLC,160700970,Ohlman,4,168473.15,152942.1,15531.05,51599,36060.95,15538.05,4661.45,3884.54,776.91
Kampsville American Legion Post 1083,140903452,Kampsville,3,36014.65,32269.39,3745.26,10663,6917.74,3745.26,1123.63,936.36,187.27
KANA3 INC,120710600,Springfield,5,175685.05,161053.86,14631.19,62209,47578.99,14630.01,4388.99,3657.49,731.5
Kandy A. Clark,130701227,Astoria,3,54254.9,47911.57,6343.33,17833,11489.67,6343.33,1902.98,1585.82,317.16
"KANKAKEE GAS AND WASH, LLC",151000458,Kankakee,5,1286471.64,1171664.79,114806.85,432791,318222.34,114568.66,34370.69,28642.24,5728.45
Kankakee Liq Stores LTD,120703135,Kankakee,5,116216.35,106103.05,10113.3,40871,30757.7,10113.3,3034,2528.33,505.67
KANKAKEE LODGE #802 LOYAL ORDER OF MOOSE,150803935,Bradley,3,1260.29,1056.44,203.85,540,336.15,203.85,61.17,50.98,10.19
"KAP CAFE, INC.",140702084,Peru,5,156128.99,143055.36,13073.63,60282,47208.37,13073.63,3922.13,3268.44,653.69
"Karban Enterprises, LLC",120707440,St. Clair County,5,239482.23,223634.75,15847.48,77842,61994.52,15847.48,4754.32,3961.94,792.38
Karco Inc.,150700599,Du Quoin,5,91670.58,83534.57,8136.01,28200,20063.74,8136.26,2440.91,2034.1,406.81
Karco Inc.,140703024,Marion,5,101220.77,92232.32,8988.45,30650,21661.61,8988.39,2696.6,2247.16,449.44
Karco Inc.,140703009,Marion,3,43668.77,37689.92,5978.85,14192,8213.15,5978.85,1793.71,1494.75,298.96
Karco Inc.,150702219,West City,5,148948.67,131835.07,17113.6,42112,24998.28,17113.72,5134.12,4278.43,855.69
"Karcsi's, Inc.",120705581,Watseka,3,26523.19,23456.62,3066.57,10950,7883.43,3066.57,919.93,766.61,153.32
KARED INC.,120706186,Hickory Hills,4,131860.56,124053.65,7806.91,49858,42051.2,7806.8,2342.02,1951.68,390.34
"Kareli Pena, Inc.",120710514,Waukegan,5,222100.96,202428.6,19672.36,77329,57656.64,19672.36,5901.77,4918.14,983.63
Karla Donaldson,120702307,Benton,5,287663.09,269477.92,18185.17,74268,56082.88,18185.12,5455.53,4546.27,909.26
"Karma Bar & Grill, Inc.",140700885,La Salle County,4,92242.65,83867.18,8375.47,34082,25706.53,8375.47,2512.67,2093.9,418.77
"Karountzos, Inc.",130704081,Roselle,5,506155.45,470105.75,36049.7,149292,113242.13,36049.87,10815.04,9012.53,1802.51
Kaskaskia Country Club,150704283,Douglas County,3,78793.42,74480.12,4313.3,28290,23976.7,4313.3,1294.03,1078.36,215.67
"Kaskaskia Post Number 3553, V.F.W.",120905887,Chester,5,172070.85,156267.09,15803.76,55309,39505.24,15803.76,4741.15,3950.96,790.19
"Kat's Meow, Inc.",120700694,East Dubuque,4,180137.03,163569.99,16567.04,62627,46059.96,16567.04,4970.11,4141.76,828.35
Katheryn F. Zeidler,120701271,Shelbyville,4,149650.28,139135.93,10514.35,35193,24678.65,10514.35,3154.39,2628.66,525.73
Kathryn T Elder,140703275,Joliet,4,209896.01,194881.95,15014.06,67763,52748.94,15014.06,4504.26,3753.56,750.7
Kathy's Corner Company,140702213,Eldred,3,42848.82,39740.9,3107.92,15408,12300.14,3107.86,932.38,776.98,155.4
Katies Cafe RP LLC,160700179,Richton Park,5,413796.36,373371.84,40424.52,148146,107721.58,40424.42,12127.33,10106.11,2021.22
Katies Wifi Cafe LLC,140704040,University Park,5,439178.77,412526.06,26652.71,141021,114368.29,26652.71,7995.79,6663.16,1332.63
Katina Beaty,160701569,Montgomery County,3,28986.32,26004.73,2981.59,7960,4978.56,2981.44,894.36,745.3,149.06
KATLO INC.,140704257,Woodstock,5,134751.61,120097.92,14653.69,43577,28923.21,14653.79,4396.27,3663.56,732.71
